id,name,chineseName,altNames,originCountry,originRegion,developedYear,parentage,description,plantType,environment,processing,oxidation,roasting,versatility,authorshipRung
tie-guan-yin,Tie Guan Yin,铁观音,Iron Goddess of Mercy;TGY;Ti Kuan Yin;Hong Xin Wai Wei Tao (technical name),China,Anxi (Fujian),18,N/A (Selected from the native Anxi heirloom population),"'Iron Goddess of Mercy'. A legendary oolong from Anxi, China, celebrated for its complex floral aroma and lingering sweet aftertaste, known as 'Guan Yin Yun'. Its robust leaves can withstand intricate processing, yielding two distinct styles: a modern, vibrantly floral green style and a traditional, deeply roasted style with notes of fruit and caramel.","Semi-upright arbor type with strong, reddish branches (Camellia sinensis var. sinensis). Known for its resilience.","Prefers the acidic, iron-rich red soil and misty, humid climate of Anxi's mid-level mountains (300-1,000m).","The cultivar's thick, durable leaves are its greatest asset, able to withstand the repeated bruising, shaking, and rolling required to develop its complex aromatics without breaking. This makes it ideal for both light and heavy processing.","For the modern green style, oxidation is kept low (15-25%). For the traditional baked style, oxidation is higher (30-50%), which develops a fruity base that can stand up to the heavy roasting.","The green style is unroasted or given a very light drying bake. The traditional style is defined by its 'hong bei' (烘焙) charcoal roasting, which can take place over many hours at low temperatures to build deep, complex flavors.","Highly versatile within the oolong category. Its two primary styles are worlds apart. It can also be processed into a unique, floral black tea, though this is less common.",drafted
tie-luo-han,Tie Luo Han,铁罗汉,Iron Arhat,China,Wuyi Mountains (Fujian),1368,"One of the four original, legendary Wuyi cultivars, selected from the native Wuyi population.","'Iron Arhat'. One of the four original 'Si Da Ming Cong' (Great Famous Bushes) of the Wuyi Mountains. Tie Luo Han is a powerful and assertive tea, steeped in history and known for its strong 'cha qi' (tea energy), warming character, and complex flavor profile with distinct medicinal and spicy undertones.","Sturdy, semi-upright bush with strong branches, well-suited to its rocky environment (Camellia sinensis var. sinensis).","Grows in the core 'Zhengyan' region of the Wuyi Mountains, where the unique mineral composition of the soil contributes to its powerful character.","The processing of Tie Luo Han aims to tame its natural intensity while enhancing its complexity. Its robust leaves can handle the high heat and repeated steps necessary to develop its deep, warming character.","Undergoes heavy oxidation (50-70%) to build a rich, complex base that can support its inherent strength and the intensity of the roast. This step is crucial for developing its fruity and herbal notes.","Requires a strong, masterful charcoal roast. The goal is to bake the flavor deep into the leaf, smoothing out any rough edges while amplifying its warming, spicy, and mineral-driven qualities.","Completely specialized. Tie Luo Han is a singular expression of Yancha. Its identity is inseparable from the traditional, heavily processed rock oolong style.",drafted
tong-tian-xiang,Tong Tian Xiang,通天香,Heaven-Reaching Aroma,China,Phoenix Mountains (Guangdong),0,"An old, native Phoenix Mountain varietal from Wudong Mountain.","'Heavenly Aroma' or 'Heaven-Reaching Aroma'. An old and highly revered Dan Cong cultivar from Wudong Mountain, the highest peak of the Phoenix range. It is known for its exceptionally powerful, penetrating, and complex aroma, often with notes of ginger and exotic spices, and a very strong 'cha qi' (tea energy).","Old Dan Cong arbor, often with a tall, upright growth habit (Camellia sinensis var. sinensis).","Grows exclusively on the high slopes of Wudong Mountain, where the unique terroir is responsible for its incredible power and aromatic complexity.","from spicy to fruity to floral.,Receives a masterful charcoal roast. The roast must be precise and deep enough to integrate the tea's powerful flavors and create a smooth texture","without damaging the prized aromatic compounds.,The ultimate specialist. Tong Tian Xiang is a rare","high-end Dan Cong oolong that represents the pinnacle of the style.
Long Jing #43,龙井43号,The most widespread and commercially important modern cultivar for West Lake Long Jing tea. Developed in the 1970s",it is prized by farmers for its early budding (allowing for a prized pre-Qingming harvest),drafted
ujihikari,Ujihikari,うじひかり,,Japan,Kyoto (Uji),1950,,"'Light of Uji'. A premier modern cultivar from Uji, Kyoto, developed specifically for shaded tea production. It is known for its elegant, refined character, a brilliant green color, and a sweet, clean umami profile that is slightly less brothy and more refined than Goko. It is a top choice for competition-grade Gyokuro and Matcha.",,,,,,,drafted
wu-yi,Wu Yi,武夷,Wuyi Oolong,Taiwan,Nantou,1801,"Brought from Wuyi Mountains, Fujian; likely a Shui Xian type.","'Wuyi'. This refers to tea plants that were originally brought to Taiwan from the Wuyi Mountains in Fujian, likely a Shui Xian type. In Taiwan, this cultivar is used to create a medium-oxidized and medium-roast oolong that pays homage to its Yancha roots. It produces a tea with a characteristic balance of woody, fruity, and mineral notes.","Sturdy, semi-arbor bush (Camellia sinensis var. sinensis).","Grows well in the mid-elevation regions of central Taiwan, such as Lugu in Nantou County.","Processing follows the traditional Dong Ding method. The leaves are moderately bruised and oxidized to develop a solid flavor base, and then skillfully roasted to add depth and complexity.","Undergoes medium oxidation (30-40%) to create a balance between retaining some floral notes and developing a fruity, substantive character that is ideal for roasting.","Perfectly suited for a medium charcoal roast. The roasting enhances its nutty and woody notes, creates a caramel-like sweetness, and gives the tea a comforting, smooth character.","Specialized for the traditional roasted oolong style. It is a key cultivar in the history of Dong Ding oolong and is not used for light, green styles.",drafted
wuyi-cai-cha,Wuyi Cai Cha,武夷菜茶,Vegetable Tea;Lapsang Souchong cultivar;Tongmu Xiaozhong,China,Wuyi Mountains (Fujian),0,"The native, seed-propagated heirloom population of the Wuyi Mountains.","'Wuyi Vegetable Tea'. This is not a single clonal cultivar, but the original, genetically diverse heirloom 'population' of small-leaf tea bushes native to the Wuyi region. It is the authentic, historical cultivar used to create the world's first black tea, Lapsang Souchong. Unsmoked, it produces a black tea of incredible elegance and sweetness.","Variable, typically small, hardy bushes that have adapted over centuries (Camellia sinensis var. sinensis).","Grows wild and cultivated in the high-altitude, protected ecosystem of the Tongmu Nature Preserve within the Wuyi Mountains, the birthplace of black tea.","For unsmoked Lapsang, the processing is a classic black tea method (withering, rolling, full oxidation, drying). For the smoked version, the key final step is drying the tea on racks above smoldering, resinous pine wood fires.","Undergoes full oxidation (100%) to be classified as a black tea. The small leaves oxidize relatively quickly, creating a refined rather than a robustly malty flavor.","The unsmoked version is dried with clean, hot air. The smoked version's 'roast' is a low-temperature smoke-drying process that infuses the leaves with a powerful pine aroma.","Highly specialized for black tea. Its entire history and identity are tied to being the original Lapsang Souchong cultivar, whether smoked or unsmoked.",drafted
xing-ren-xiang,Xing Ren Xiang,杏仁香,Almond Dan Cong,China,Phoenix Mountains (Guangdong),1644,"One of the ten traditional fragrance types, selected from the native Phoenix Mountain population.","'Almond Fragrance'. A classic and distinct Phoenix Dan Cong oolong fragrance type. It is prized for its clear, focused, and unmistakable aroma and flavor of bitter almond, marzipan, and apricot kernel. It offers a unique, nutty departure from the more common floral or fruity Dan Cong profiles.","Medium-sized arbor with ovate, dark green leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude, mineral-rich soils of the Phoenix Mountains, which provide the base texture and sweetness for its nutty profile to emerge.",The key to producing Xing Ren Xiang is identifying the specific trees that carry this genetic trait and then processing them in a way that highlights it. The bruising and oxidation must be managed to favor the development of these specific nutty aromatic compounds.,"Undergoes a standard medium oxidation (30-45%) for Dan Cong, which provides the necessary foundation for its unique flavor profile to develop fully.","The roast for Xing Ren Xiang is often a bit heavier than for very floral Dan Congs. A medium roast helps to enhance the nutty, toasted character and integrate it with the tea's natural sweetness and minerality.","Highly specialized. This is a classic, specific fragrance profile within the Dan Cong oolong family and is not made in any other style.",drafted
ya-shi-xiang,Ya Shi Xiang,鸭屎香,Duck Shit Dan Cong;Yin Hua Xiang (Honeysuckle Fragrance - a modern marketing name),China,Phoenix Mountains (Guangdong),1801,Selected from the local Phoenix Mountain heirloom population.,"'Duck Shit Fragrance'. A Phoenix Dan Cong oolong with a famously off-putting name that conceals a sublimely beautiful tea. It is celebrated for its uniquely creamy mouthfeel and an intense, intoxicating floral aroma of gardenia and honeysuckle, which is completely at odds with its rustic name.","Upright, vigorous arbor with dark, slightly larger leaves (Camellia sinensis var. sinensis).",Grows in the high-altitude terroir of the Phoenix Mountains. Its unique creamy character is said to come from the specific soil of its home village.,"The processing of Ya Shi Xiang is meticulous, with a strong focus on the withering and bruising stages to develop not only the high floral notes but also the compounds that contribute to its exceptionally creamy mouthfeel.","Oxidation is typically in the medium range (30-45%). This level is crucial for transforming the leaf's potential into the rich, complex, and layered floral-creamy profile it is famous for.",Usually receives a light charcoal roast. The goal is to dry the tea thoroughly and enhance its creamy texture and sweetness without diminishing the high-pitched gardenia and honeysuckle aromatics.,Completely specialized for the Dan Cong oolong style. Its legendary status is entirely built on its unique aroma and texture when processed in this traditional manner.,drafted
yabukita,Yabukita,やぶきた,N/A,Japan,Shizuoka,1908,Selected from a native Zairai population by Sugiyama Hikosaburo.,"'North of the Bamboo Grove'. The undisputed king of Japanese tea, accounting for over 75% of all tea production in Japan. Discovered in 1908, it became the national standard due to its hardiness, high yield, and a perfectly balanced flavor profile of umami and refreshing astringency. It is the benchmark against which all other Japanese green teas are measured.","Hardy, vigorous, and highly adaptable mid-budding bush (Camellia sinensis var. sinensis).","Extremely adaptable to a wide range of climates and altitudes, from the cool mountains of Shizuoka to the warm plains of Kagoshima.","from light steaming (Asamushi) to deep steaming (Fukamushi).,Zero oxidation. The leaves are steamed immediately after harvest to halt all enzymatic activity. The steaming time (30-120 seconds) determines the style (Asamushi",Chumushi,"or Fukamushi).,Receives a final drying roast ('hi-ire') to stabilize the tea and enhance its aroma. This is typically a light bake","not a heavy roast.,Extremely versatile. It is the workhorse of the Japanese tea industry and can be skillfully crafted into almost any type of Japanese tea",drafted
ying-xiang,Ying Xiang,迎香,Welcome Fragrance;TRES #20,Taiwan,Nantou,2014,Jin Xuan x Qing Xin cross-pollination.,"'Welcome Fragrance'. A new-generation oolong cultivar released by TRES in 2014, Ying Xiang was bred to have the elegant floral character of Qing Xin but with more intensity and a tropical twist. It is known for its clear, sophisticated, floral aroma reminiscent of osmanthus and lily.","Vigorous, upright bush with good productivity.","Adaptable to a range of mid-altitude environments, performing well in the established oolong regions of Nantou.",Processing is focused on highlighting its refined floral notes. It requires gentle handling during withering and bruising to develop its complex bouquet without introducing any undesirable green notes.,"Undergoes light oxidation (15-25%), which is ideal for showcasing its high-note floral aromatics.","Unroasted. Like other highly aromatic Taiwanese oolongs, any significant roasting would damage its primary characteristic.","Specialized for light, aromatic oolongs. It was designed to be a modern, high-fragrance alternative to Qing Xin and excels in that role.",drafted
yiwu-da-ye-zhong,Yiwu Da Ye Zhong,易武大叶种,Yiwu Broad Leaf,China,"Xishuangbanna (Yiwu), Yunnan",0,A distinct local heirloom population of C. sinensis var. assamica.,"'Yiwu Big Leaf Variety'. A famous sub-variety of the Da Ye (Assamica) varietal from the historic Yiwu mountains, one of the original Six Great Tea Mountains. In contrast to the power of Mengku, Yiwu teas are prized for their exceptional softness, elegance, and 'rou' (柔) character. They are known for having very low bitterness, a thick, soupy texture, and a prominent floral fragrance.","Large arbor trees, often with a more sprawling growth habit and very large leaves (Camellia sinensis var. assamica).","Grows in the protected, high-humidity, and biodiverse forests of the Yiwu mountain range, which contributes to its elegant and gentle nature.","Processing follows the traditional Sheng Pu'er method (pan-fire, roll, sun-dry). The skill lies in preserving the tea's inherent softness and aromatic delicacy throughout the process.","Minimal oxidation (<5%) from processing. The focus is on preserving the gentle, floral nature of the fresh leaves for aging.",No roasting. Sun-drying is the essential final step that defines Pu'er and allows the tea to age gracefully over decades.,"Extremely specialized. Yiwu Da Ye is a prized 'terroir-specific' cultivar used exclusively for making soft, elegant, and highly sought-after Sheng Pu'er.",drafted
yutakamidori,Yutakamidori,ゆたかみどり / 豊緑,,Japan,Kagoshima,1966,,"'Abundant Green'. An early-budding cultivar, very popular in the warmer Kagoshima region, especially for deep-steamed Sencha.",,,,,,,drafted
zairai,Zairai,在来,Heirloom;Native Species,Japan,Various,0,N/A (Seed-propagated native population).,"'Conventional' or 'Native'. This is not a single cultivar, but the crucial designation for Japan's heirloom, seed-propagated tea populations. Before modern clonal agriculture, all tea was Zairai. Each Zairai field is a unique, genetically diverse ecosystem, producing a tea with a complex, rustic, and deeply terroir-driven flavor that cannot be replicated by a single clone.",Highly variable; a genetically diverse population of bushes and trees that have adapted to their specific location over centuries (Camellia sinensis var. sinensis).,"Extremely well-adapted to its specific, long-standing local environment. Zairai fields are often found in older, more remote, or organically-focused tea gardens.","Processing Zairai requires great skill from the tea master, as the leaves are not uniform in size, shape, or moisture content. The master must adapt their technique to the specific characteristics of each unique batch.","Oxidation can vary completely depending on the tea being made, from zero (for Sencha) to full (for Wakocha).","Roasting is highly dependent on the final tea style. Zairai can be unroasted for Sencha, or heavily roasted to produce a deep, comforting Hojicha.","The ultimate in versatility. As a genetically diverse population, Zairai can be crafted into almost any style of tea. Each expression is a unique snapshot of a specific place and time, prized by connoisseurs for its depth and authenticity.",drafted
zhenghe-da-bai,Zhenghe Da Bai,政和大白,Hua Cha #2 (technical name),China,Zhenghe (Fujian),1890,Selected from the native Zhenghe heirloom population.,"'Zhenghe Big White'. A close cousin to Fuding Da Bai, this cultivar is the foundation of white tea from the inland Zhenghe region. It is known for producing white teas that are fuller-bodied, darker in color, and deeper in flavor compared to those from Fuding, often with notes of dried fruit and wood. It is also a key cultivar for some Fujian black teas.","Vigorous, semi-arbor type with a later budding time than Fuding Da Bai (Camellia sinensis var. sinensis).","Thrives in the cooler, high-altitude, and foggy inland environment of Zhenghe County. The longer growing cycle contributes to its deeper flavor accumulation.","The processing for Zhenghe white tea is similar to Fuding (long withering, gentle drying), but the later-budding, slower-growing nature of the cultivar results in a different final product. The leaves accumulate different compounds, leading to a deeper flavor.","Undergoes a slightly higher degree of natural oxidation during its longer withering process compared to Fuding teas, which contributes to its darker color and deeper flavor profile.","Like other white teas, it is not roasted. The final step is a thorough, low-temperature drying.","Quite versatile. It is a star performer for a distinct style of white tea and is also one of the classic, foundational cultivars for traditional Fujian black tea (Congou/Gongfu style).",drafted
zhi-lan-xiang,Zhi Lan Xiang,芝兰香,Orchid Dan Cong,China,Phoenix Mountains (Guangdong),1644,"One of the oldest and most classic fragrance types, selected from the native Phoenix Mountain population.","'Orchid Fragrance'. A benchmark Phoenix Dan Cong oolong, considered one of the most classic and elegant expressions of a floral Dan Cong. It is prized for its refined, high-pitched, and pure orchid fragrance, which is less fruity than Mi Lan Xiang and more focused and delicate, representing a connoisseur's floral profile.","Medium-sized arbor with long, yellowish-green leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude terroir of Wudong Mountain within the Phoenix range, which is considered the best area for producing Dan Congs with elegance and complexity.","The processing of Zhi Lan Xiang requires an expert hand. The goal is to achieve a perfect, clean expression of its orchid aroma without any off-notes. This demands precise control over withering, bruising, and oxidation.","Oxidation is typically in the lighter-medium range (25-35%). This keeps the profile bright, fresh, and focused on the high-note floral aromatics.","Receives a very light, low-temperature finishing roast. The bake is just enough to ensure stability and remove any residual greenness, allowing the pure orchid fragrance to be the star.",Completely specialized for the high-end Dan Cong oolong style. Its value is derived entirely from its masterful expression of a pure and elegant floral profile.,drafted
zi-juan,Zi Juan,紫娟,Purple Beauty,China,Yunnan,1990,A clonal selection from a natural purple-leaf mutation of C. sinensis var. assamica.,"'Purple Juan'. A unique and modern Yunnan cultivar developed from a natural purple-leaf mutation of the Da Ye (Assamica) varietal. Its most striking feature is its deep purple leaves, buds, and stems, a result of a very high concentration of anthocyanins. The finished tea has a distinct flavor profile, often with berry-like and slightly medicinal notes.","Upright, medium-sized bush with a striking purple coloration throughout the plant (Camellia sinensis var. assamica).","Grown in the high-altitude tea regions of Yunnan, where strong sunlight is thought to enhance its purple pigmentation.","Processing Zi Juan requires care to manage its higher-than-average astringency and bitterness. The processing method (green, black, or Pu'er) dramatically changes its final flavor profile.",Oxidation levels can vary from none (green/Pu'er) to full (black tea). Full oxidation can help to mellow some of its natural astringency.,"No roasting is typically applied. Like Pu'er, it is often sun-dried for green tea styles, or oven-dried for black tea styles.","Moderately versatile. It can be crafted into several different types of tea, but its unique and assertive flavor profile means it will always be a niche, specialty product rather than a mainstream tea.",drafted
